"No.","Time","Source","Destination","Protocol","Sequence Number","Payload Length","Info"
"14755","1257.709536","","","IEEE 802.15.4","230","","Ack"
"14756","1257.737000","::202:2:2:2","::20f:f:f:f","UDP","110","25","5678  >  8765 Len=9"
"14757","1257.739536","","","IEEE 802.15.4","110","","Ack"
"14758","1257.899000","::20e:e:e:e","::201:1:1:1","UDP","242","25","8765  >  5678 Len=9"
"14759","1257.901536","","","IEEE 802.15.4","242","","Ack"
"14760","1257.929000","::201:1:1:1","::20e:e:e:e","UDP","115","25","5678  >  8765 Len=9"
"14761","1257.931536","","","IEEE 802.15.4","115","","Ack"
"14762","1258.529000","::20b:b:b:b","::202:2:2:2","UDP","88","25","8765  >  5678 Len=9"
"14763","1258.531536","","","IEEE 802.15.4","88","","Ack"
"14764","1258.551000","::202:2:2:2","::20b:b:b:b","UDP","111","25","5678  >  8765 Len=9"
"14765","1258.553536","","","IEEE 802.15.4","111","","Ack"
"14766","1258.873000","::207:7:7:7","::202:2:2:2","UDP","13","25","8765  >  5678 Len=9"
"14767","1258.875536","","","IEEE 802.15.4","13","","Ack"
"14768","1258.912000","::202:2:2:2","::207:7:7:7","UDP","112","25","5678  >  8765 Len=9"
"14769","1258.914536","","","IEEE 802.15.4","112","","Ack"
"14770","1259.446000","fe80::207:7:7:7","fe80::20f:f:f:f","ICMPv6","14","76","RPL Control (DODAG Information Object)"
"14771","1259.450200","","","IEEE 802.15.4","14","","Ack"
"14772","1259.925000","::212:12:12:12","::201:1:1:1","UDP","189","24","8765  >  5678 Len=8"
"14773","1259.927504","","","IEEE 802.15.4","189","","Ack"
"14774","1259.960000","::201:1:1:1","::212:12:12:12","UDP","116","24","5678  >  8765 Len=8"
"14775","1259.962504","","","IEEE 802.15.4","116","","Ack"
"14776","1260.001000","::204:4:4:4","::202:2:2:2","UDP","46","25","8765  >  5678 Len=9"
"14777","1260.003536","","","IEEE 802.15.4","46","","Ack"
"14778","1260.030000","::202:2:2:2","::204:4:4:4","UDP","113","25","5678  >  8765 Len=9"
"14779","1260.032536","","","IEEE 802.15.4","113","","Ack"
"14780","1260.218000","::20d:d:d:d","::202:2:2:2","UDP","10","25","8765  >  5678 Len=9"
"14781","1260.220536","","","IEEE 802.15.4","10","","Ack"
"14782","1260.252000","::202:2:2:2","::20d:d:d:d","UDP","114","25","5678  >  8765 Len=9"
"14783","1260.254536","","","IEEE 802.15.4","114","","Ack"
"14784","1260.321000","::20c:c:c:c","::202:2:2:2","UDP","10","25","8765  >  5678 Len=9"
