"No.","Time","Source","Destination","Protocol","Sequence Number","Payload Length","Info"
"387","21.683000","fe80::206:6:6:6","ff02::1a","ICMPv6","183","76","RPL Control (DODAG Information Object)"
"388","22.113000","fe80::20f:f:f:f","ff02::1a","ICMPv6","1","76","RPL Control (DODAG Information Object)"
"389","22.176000","::20c:c:c:c","::202:2:2:2","UDP","36","23","8765  >  5678 Len=7"
"390","22.178472","","","IEEE 802.15.4","36","","Ack"
"391","22.196000","::202:2:2:2","::20c:c:c:c","UDP","79","23","5678  >  8765 Len=7"
"392","22.198472","","","IEEE 802.15.4","79","","Ack"
"393","22.316000","fe80::20a:a:a:a","ff02::1a","ICMPv6","241","76","RPL Control (DODAG Information Object)"
"394","22.330000","fe80::20c:c:c:c","ff02::1a","ICMPv6","37","76","RPL Control (DODAG Information Object)"
"395","22.344000","fe80::205:5:5:5","ff02::1a","ICMPv6","124","76","RPL Control (DODAG Information Object)"
"396","22.467000","::210:10:10:10","::201:1:1:1","UDP","121","23","8765  >  5678 Len=7"
"397","22.469472","","","IEEE 802.15.4","121","","Ack"
"398","22.485000","::201:1:1:1","::210:10:10:10","UDP","33","23","5678  >  8765 Len=7"
"399","22.487472","","","IEEE 802.15.4","33","","Ack"
"400","23.026000","fe80::211:11:11:11","ff02::1a","ICMPv6","40","76","RPL Control (DODAG Information Object)"
"401","23.144000","fe80::214:14:14:14","ff02::1a","ICMPv6","120","76","RPL Control (DODAG Information Object)"
"402","23.558000","fe80::201:1:1:1","ff02::1a","ICMPv6","34","76","RPL Control (DODAG Information Object)"
"403","23.583000","::205:5:5:5","::201:1:1:1","UDP","125","23","8765  >  5678 Len=7"
"404","23.585472","","","IEEE 802.15.4","125","","Ack"
"405","23.610000","::201:1:1:1","::205:5:5:5","UDP","35","23","5678  >  8765 Len=7"
"406","23.612472","","","IEEE 802.15.4","35","","Ack"
"407","24.051000","fe80::202:2:2:2","ff02::1a","ICMPv6","80","76","RPL Control (DODAG Information Object)"
"408","24.106000","::211:11:11:11","::202:2:2:2","UDP","41","23","8765  >  5678 Len=7"
"409","24.108472","","","IEEE 802.15.4","41","","Ack"
"410","24.128000","::202:2:2:2","::211:11:11:11","UDP","81","23","5678  >  8765 Len=7"
"411","24.130472","","","IEEE 802.15.4","81","","Ack"
"412","24.565000","::20f:f:f:f","::202:2:2:2","UDP","2","23","8765  >  5678 Len=7"
"413","24.567472","","","IEEE 802.15.4","2","","Ack"
"414","24.610000","::202:2:2:2","::20f:f:f:f","UDP","82","23","5678  >  8765 Len=7"
"415","24.612472","","","IEEE 802.15.4","82","","Ack"
"416","24.953000","fe80::216:16:16:16","ff02::1a","ICMPv6","206","76","RPL Control (DODAG Information Object)"
"417","25.705000","::207:7:7:7","::202:2:2:2","UDP","43","23","8765  >  5678 Len=7"
"418","25.707472","","","IEEE 802.15.4","43","","Ack"
"419","25.739000","::202:2:2:2","::207:7:7:7","UDP","83","23","5678  >  8765 Len=7"
"420","25.741472","","","IEEE 802.15.4","83","","Ack"
